key,en,ru,de,es,fr,pt,ko,ja,id
saveChanges,Save changes,Сохранить изменения,Änderungen speichern,Guardar cambios,Enregistrer les modifications,Salvar alterações,변경 사항 저장,変更を保存,Simpan perubahan
deleteCar,Delete car,Удалить авто,Auto löschen,Eliminar coche,Supprimer la voiture,Excluir carro,차 삭제,車を削除,Hapus mobil
delete,Delete,Удалить,Löschen,Eliminar,Supprimer,Excluir,삭제,削除,Hapus
areYouSure,Are you sure?,Вы уверены?,Sind Sie sicher?,¿Está seguro?,Êtes-vous sûr ?,Tem certeza?,정말로?,本当ですか？,Apakah Anda yakin?
make,Make,Марка,Marca,Marca,Marque,Marca,제조사,メーカー,Merek
model,Model,Модель,Modell,Modelo,Modèle,Modelo,모델,モデル,Model
year,Year,Год,Jahr,Año,Année,Ano,연식,年式,Tahun
plate,Plate,Номер,Kennzeichen,Matrícula,Plaque,Placa,번호판,ナンバープレート,Plat
price,Price,Цена,Preis,Precio,Prix,Preço,가격,価格,Harga
mileage,Mileage,Пробег,Kilometerstand,Kilometraje,Kilométrage,Quilometragem,주행 거리,走行距離,Jarak tempuh
save,Save,Сохранить,Speichern,Guardar,Enregistrer,Salvar,저장,保存,Simpan
cancel,Cancel,Отмена,Abbrechen,Cancelar,Annuler,Cancelar,취소,キャンセル,Batal
color,Color,Цвет,Farbe,Color,Couleur,Cor,색상,色,Warna
spent,Spent money,Потрачено,Ausgaben,Gastado,Dépensé,Gasto,지출,支出,Dibelanjakan
topCategory,Top category,Основная категория,Top-Kategorie,Categoría principal,Catégorie principale,Categoria principal,상위 카테고리,トップカテゴリ,Kategori teratas
addWork,Add work,Добавить работу,Arbeit hinzufügen,Añadir trabajo,Ajouter une tâche,Adicionar serviço,정비 추가,作業を追加,Tambah pekerjaan
editWork,Edit work,Изменить работу,Arbeit bearbeiten,Editar trabajo,Modifier la tâche,Editar serviço,정비 수정,作業を編集,Edit pekerjaan
deleteWork,Delete work,Удалить работу,Arbeit löschen,Eliminar trabajo,Supprimer la tâche,Excluir serviço,정비 삭제,作業を削除,Hapus pekerjaan
lastOilChange,Last oil change,Последняя замена масла,Letzter Ölwechsel,Último cambio de aceite,Dernière vidange,Última troca de óleo,최근 오일 교체,最後のオイル交換,Penggantian oli terakhir
category,Category,Категория,Kategorie,Categoría,Catégorie,Categoria,카테고리,カテゴリ,Kategori
catOil,Oil change,Замена масла,Ölwechsel,Cambio de aceite,Vidange,Troca de óleo,오일 교체,オイル交換,Penggantian oli
catFuel,Fuel,Топливо,Kraftstoff,Combustible,Carburant,Combustível,연료,燃料,Bahan bakar
catCleaning,Cleaning,Мойка,Reinigung,Limpieza,Nettoyage,Limpeza,세차,洗車,Pembersihan
catDiagnostic,Diagnostic,Диагностика,Diagnose,Diagnóstico,Diagnostic,Diagnóstico,진단,診断,Diagnostik
catElectronics,Electronics,Электроника,Elektronik,Electrónica,Électronique,Eletrônica,전자장치,電子機器,Elektronik
catRepair,Repair,Ремонт,Reparatur,Reparación,Réparation,Reparo,수리,修理,Perbaikan
catReplacement,Replacement,Замена,Ersatz,Reemplazo,Remplacement,Substituição,교체,交換,Penggantian
catParking,Parking,Парковка,Parken,Aparcamiento,Stationnement,Estacionamento,주차,駐車,Parkir
catInsurance,Insurance,Страховка,Versicherung,Seguro,Assurance,Seguro,보험,保険,Asuransi
catTiresWheels,Tires/Wheels,Шины/Диски,Reifen/Felgen,Neumáticos/Llantas,Pneus/Jantes,Pneus/Rodas,타이어/휠,タイヤ/ホイール,Ban/Roda
catTaxFees,Tax/Fees,Налоги/Сборы,Steuern/Gebühren,Impuestos/Tasas,Taxes/Frais,Impostos/Taxas,세금/수수료,税金/費用,Pajak/Biaya
description,Description,Описание,Beschreibung,Descripción,Description,Descrição,설명,説明,Deskripsi
date,Date,Дата,Datum,Fecha,Date,Data,날짜,日付,Tanggal
required,Required,Обязательно,Erforderlich,Obligatorio,Obligatoire,Obrigatório,필수,必須,Wajib
enterValidMileage,Enter a valid mileage,Введите корректный пробег,Geben Sie einen gültigen Kilometerstand ein,Ingrese un kilometraje válido,Entrez un kilométrage valide,Digite uma quilometragem válida,올바른 주행 거리를 입력하세요,有効な走行距離を入力してください,Masukkan jarak tempuh yang valid
enterValidCost,Enter a valid cost,Введите корректную стоимость,Geben Sie gültige Kosten ein,Ingrese un costo válido,Entrez un coût valide,Digite um custo válido,올바른 비용을 입력하세요,有効な費用を入力してください,Masukkan biaya yang valid
enterValidYear,Enter a valid year,Введите корректный год,Geben Sie ein gültiges Jahr ein,Ingrese un año válido,Entrez une année valide,Digite um ano válido,올바른 연식을 입력하세요,有効な年式を入力してください,Masukkan tahun yang valid
enterValidPrice,Enter a valid price,Введите корректную цену,Geben Sie einen gültigen Preis ein,Ingrese un precio válido,Entrez un prix valide,Digite um preço válido,올바른 가격을 입력하세요,有効な価格を入力してください,Masukkan harga yang valid
serviceHistory,Service history,История обслуживания,Wartungshistorie,Historial de servicio,Historique d'entretien,Histórico de serviços,정비 이력,整備履歴,Riwayat servis
noWorksYet,No works yet,Пока нет работ,Noch keine Arbeiten,Aún no hay trabajos,Aucune tâche pour l'instant,Nenhum serviço ainda,정비 기록 없음,作業履歴なし,Belum ada pekerjaan
import,Import data,Импорт данных,Daten importieren,Importar datos,Importer des données,Importar dados,데이터 가져오기,データをインポート,Impor data
export,Export data,Экспорт данных,Daten exportieren,Exportar datos,Exporter des données,Exportar dados,데이터 납품내기,データをエクスポート,Ekspor data
noDataYet,No data yet,Пока нет данных,Noch keine Daten,Aún no hay datos,Aucune donnée pour l'instant,Nenhum dado ainda,데이터 없음,データなし,Belum ada data
importFromFile,Import from file,Импорт из файла,Aus Datei importieren,Importar desde archivo,Importer depuis un fichier,Importar de arquivo,파일에서 가져오기,ファイルからインポート,Impor dari file
databaseNotEmpty,Database is not empty. Clear data first.,База данных не пуста. Сначала очистите данные.,Datenbank ist nicht leer. Löschen Sie zuerst die Daten.,La base de datos no está vacía. Borre los datos primero.,La base de données n'est pas vide. Effacez d'abord les données.,O banco de dados não está vazio. Limpe os dados primeiro.,데이터베이스가 비어 있지 않습니다. 먼저 데이터를 지우세요.,データベースが空ではありません。先にデータを消去してください。,Database tidak kosong. Hapus data terlebih dahulu.
importReplaceTitle,Replace existing data?,Заменить существующие данные?,Bestehende Daten ersetzen?,¿Reemplazar datos existentes?,Remplacer les données existantes ?,Substituir dados existentes?,기존 데이터를 바꾸시겠습니까?,既存のデータを置き換えますか？,Ganti data yang ada?
importReplaceMessage,Importing will replace all existing cars and works. This cannot be undone.,Импорт заменит все существующие автомобили и работы. Это нельзя отменить.,Der Import ersetzt alle bestehenden Autos und Arbeiten. Dies kann nicht rückgängig gemacht werden.,La importación reemplazará todos los coches y trabajos existentes. Esto no se puede deshacer.,L'importation remplacera toutes les voitures et tâches existantes. Cela ne peut pas être annulé.,A importação substituirá todos os carros e serviços existentes. Isso não pode ser desfeito.,가져오기를 실행하면 기존 차량과 정비 기록이 모두 대첩니다. 이 작업은 되돌릴 수 없습니다.,インポートすると既存の車と作業がすべて置き換えられます。この操作は元に戻せません。,Impor akan mengganti semua mobil dan pekerjaan yang ada. Ini tidak dapat dibatalkan.
replace,Replace,Заменить,Ersetzen,Reemplazar,Remplacer,Substituir,대체,置き換え,Ganti
importSuccess,Data imported successfully,Данные импортированы,Daten erfolgreich importiert,Datos importados correctamente,Données importées avec succès,Dados importados com sucesso,데이터 가져오기 완료,データのインポートに成功しました,Data berhasil diimpor
exportSuccess,Data exported successfully,Данные экспортированы,Daten erfolgreich exportiert,Datos exportados correctamente,Données exportées avec succès,Dados exportados com sucesso,데이터 납품내기 완료,データのエクスポートに成功しました,Data berhasil diekspor
oilIntervalKm,Oil change,Замена масла,Ölwechsel,Cambio de aceite,Vidange,Troca de óleo,오일 교체,オイル交換,Penggantian oli
oilLife,Oil life,Ресурс масла,Ölstand,Vida útil del aceite,Durée de vie de l'huile,Vida útil do óleo,오일 수명,オイル寿命,Usia oli
oilChangeDataNotProvided,"Oil change data not provided. Add an ""Oil change"" work entry.","Данные о замене масла не указаны. Добавьте запись ""Замена масла"".","Ölwechseldaten nicht angegeben. Fügen Sie einen ""Ölwechsel""-Eintrag hinzu.","No se proporcionaron datos de cambio de aceite. Añada una entrada de trabajo ""Cambio de aceite"".","Données de vidange non fournies. Ajoutez une tâche ""Vidange"".","Dados de troca de óleo não fornecidos. Adicione um serviço ""Troca de óleo"".","오일 교체 데이터가 없습니다. ""오일 교체"" 정비 기록을 추가하세요.","オイル交換データが提供されていません。""オイル交換""の作業を追加してください。","Data penggantian oli tidak disediakan. Tambahkan entri pekerjaan ""Penggantian oli""."
errorLoadingStats,Error loading stats,Ошибка загрузки статистики,Fehler beim Laden der Statistiken,Error al cargar estadísticas,Erreur lors du chargement des statistiques,Erro ao carregar estatísticas,통계 불러오기 오류,統計の読み込みエラー,Kesalahan memuat statistik
error,Error,Ошибка,Fehler,Error,Erreur,Erro,오류,エラー,Kesalahan
initFailed,Init failed,Ошибка инициализации,Initialisierung fehlgeschlagen,Error de inicio,Échec de l'initialisation,Falha na inicialização,초기화 실패,初期化に失敗しました,Inisialisasi gagal
current,current,текущий,aktuell,actual,actuel,atual,현재,現在,saat ini
works,works,работ,arbeiten,trabajos,tâches,serviços,정비,作業,pekerjaan
monthlySpendings,Monthly Spendings,Расходы по месяцам,Monatliche Ausgaben,Gastos mensuels,Dépenses mensuelles,Gastos mensais,월별 지출,月別支出,Pengeluaran bulanan
categoryRatings,Category Ratings,Рейтинг категорий,Kategoriebewertungen,Calificaciones por categoría,Répartition par catégorie,Avaliações por categoria,카테고리 비율,カテゴリ別評価,Peringkat kategori
noOilChangeRecords,No oil change records yet,Нет записей о замене масла,Noch keine Ölwechsel-Einträge,Aún no hay registros de cambio de aceite,Aucun enregistrement de vidange,Nenhum registro de troca de óleo ainda,오일 교체 기록 없음,オイル交換記録なし,Belum ada catatan penggantian oli
noSpendingRecords,No spending records yet,Нет записей о расходах,Noch keine Ausgaben-Einträge,Aún no hay registros de gastos,Aucun enregistrement de dépenses,Nenhum registro de gastos ainda,지출 기록 없음,支出記録なし,Belum ada catatan pengeluaran
noCategoryRecords,No category records yet,Нет записей по категориям,Noch keine Kategorie-Einträge,Aún no hay registros por categoría,Aucun enregistrement par catégorie,Nenhum registro por categoria ainda,카테고리 기록 없음,カテゴリ記録なし,Belum ada catatan kategori
january,January,Январь,Januar,Enero,Janvier,Janeiro,1월,1月,Januari
february,February,Февраль,Februar,Febrero,Février,Fevereiro,2월,2月,Februari
march,March,Март,März,Marzo,Mars,Março,3월,3月,Maret
april,April,Апрель,April,Abril,Avril,Abril,4월,4月,April
may,May,Май,Mai,Mayo,Mai,Maio,5월,5月,Mei
june,June,Июнь,Juni,Junio,Juin,Junho,6월,6月,Juni
july,July,Июль,Juli,Julio,Juillet,Julho,7월,7月,Juli
august,August,Август,August,Agosto,Août,Agosto,8월,8月,Agustus
september,September,Сентябрь,September,Septiembre,Septembre,Setembro,9월,9月,September
october,October,Октябрь,Oktober,Octubre,Octobre,Outubro,10월,10月,Oktober
november,November,Ноябрь,November,Noviembre,Novembro,Novembro,11월,11月,November
december,December,Декабрь,Dezember,Diciembre,Décembre,Dezembro,12월,12月,Desember
